package_name,label_or_note
com.google.android.youtube,Video
com.netflix.mediaclient,Video
com.hulu.plus,Video
com.disney.disneyplus,Video
tv.twitch.android.app,Video
com.spotify.music,Media
com.google.android.apps.maps,Navigation
