package_name,label_or_note
com.spotify.music,Audio (keeps playing while backgrounded)
com.google.android.apps.maps,Navigation (keeps running while backgrounded)
com.pandora.android,Audio (keeps playing while backgrounded)
com.audible.application.kindle,Audiobooks (keep playing while backgrounded)
